domain,ecosystems,names,eco_count,record_count
comichubfree.com,mihon,ComicHubFree,1,1
comick.art,venera,comick,1,5
comick.live,mihon,Comick (Unoriginal),1,1
comickfan.com,mihon,ComicK Fanmade,1,1
comicland.org,mihon,ComicLand,1,1
comicnettai.com,mihon,Comic Nettai,1,1
comico.jp,mihon,コミコ,1,1
comicpash.jp,mihon,Comic Pash,1,1
comicride.jp,mihon,Comic Ride,1,1
comics.8muses.com,mihon,8Muses,1,1
comics.inkr.com,mihon,INKR,1,1
comics.manga-bang.com,mihon,MangaBang Comics,1,1
comicsvalley.com,mihon,Comics Valley,1,1
comikey.com,mihon,Comikey,1,4
comirela.com,mihon,Comirela,1,1
comivex.com,mihon,Comivex,1,1
comix.to,aidoku|mihon,Comix|en.comix,2,2
comixtopia.in.ua,mihon,ComixTopia,1,1
commitstrip.com,mihon,Commit Strip,1,2
coolmic.me,mihon,Coolmic,1,1
coomer.st,mihon,Coomer,1,1
copymanga.com,legado,🎨 拷贝漫画➠移动不可用,1,2
corocoro.jp,mihon,Corocoro Online,1,1
cosplaytele.com,mihon|venera,CosplayTele,2,2
covendasbruxonas.com,mihon,Coven Scan,1,1
creative-comic.tw,mihon,CCC追漫台,1,1
crotpedia.net,mihon,CrotPedia,1,1
cubari.moe,mihon,Cubari,1,3
cucumbermanga.com,mihon,Cucumber Manga,1,1
culturedworks.com,mihon,CulturedWorks,1,1
cutiecomics.com,mihon,Cutie Comics,1,1
cuutruyen.moe,mihon,CuuTruyen (unoriginal),1,1
cuutruyen.net,mihon,CuuTruyen,1,1
cycomi.com,mihon,CyComi,1,1
d9zfb53b.lstool.xyz,cimoc,GUOGUOMH,1,1
dailysuka.com,mihon,DailySuka ,1,1
damconuong.uno,mihon,DamCoNuong,1,1
danbooru.donmai.us,mihon,Danbooru,1,1
danke.moe,aidoku|mihon,Danke fürs Lesen|en.dankefurslesen,2,2
daomeoden.net,mihon,DaoMeoDen,1,1
darklegacycomics.com,mihon,Dark Legacy Comics,1,1
darthsanddroids.net,mihon,Darths & Droids,1,1
dashuhuwai.com,legado,大树漫画,1,2
dashumanhua.com,cimoc,DASHUMANHUA,1,1
dassouscan.com,mihon,Dassou Scan,1,1
datgarscanlation.blogspot.com,mihon,Dat-Gar Scan,1,1
dbook.docomo.ne.jp,mihon,Docomo,1,1
ddt.hastateam.com,mihon,DDT Team,1,1
de.niadd.com,mihon,Niadd,1,1
de.novelcool.com,mihon,NovelCool,1,1
deatte5.com,mihon,Battle In 5 Seconds After Meeting,1,1
demo.kavita.org,venera,Kavita,1,3
demo.komga.org,venera,Komga,1,3
demonicscans.org,aidoku|mihon,Manga Demon|en.mangademon,2,2
despair-manga.net,mihon,Despair Manga,1,1
desu.uno,mihon,Desu,1,1
deviantart.com,mihon,DeviantArt,1,1
dflow.alwaysdata.net,mihon,DFlowScans,1,1
dgmanga.app,mihon,DGManga,1,1
dgtread.com,mihon,DigitalTeam,1,1
diamondfansub.com,mihon,DiamondFansub,1,1
digitalcomicmuseum.com,mihon,Digital Comic Museum,1,1
dilar.tube,mihon,Dilar,1,1
dilib.vn,aidoku|mihon,Dilib|vi.dilib,2,2
divascans.org,mihon,Diva Scans,1,1
dm5.com,aidoku|cimoc|mihon|venera,DongManWu|zh.dm5|动漫屋,4,5
dmzj.com,cimoc,DongManZhiJia,1,1
doctruyen3qhub.vip,mihon,DocTruyen3Q,1,1
dojing.net,mihon,Dojing.net,1,1
dokiraw.click,mihon,Dokiraw,1,1
dokusho-ojikan.jp,mihon,Ameba Manga,1,1
dom4lfansub.online,mihon,Domal Fansub,1,1
dongman.la,venera,动漫啦,1,2
dongmanmanhua.cn,mihon|venera,Dongman Manhua|咚漫,2,3
doodmanga.com,mihon,Doodmanga,1,1
doujin-lc.net,mihon,Doujin-Lc,1,1
doujin.desu.xxx,mihon,Doujindesu,1,1
doujin.io,mihon,Doujin.io - J18,1,1
doujindistrict.com,mihon,HM2D,1,1
doujinhentai.net,mihon,DoujinHentai,1,1
doujinku.org,mihon,Doujinku,1,1
doujinmoon.com,mihon,Doujin Moon,1,1
doujins.com,mihon,Doujins,1,1
doujinshell.net,mihon,DoujinsHell,1,1
doujinza.com,mihon,DoujinZa,1,1
doujiva.com,mihon,Doujiva,1,1
dragonball-multiverse.com,mihon,Dragon Ball Multiverse|Dragon Ball Multiverse Parody,1,37
dragontea.ink,mihon,DragonTea,1,1
dragontranslation.org,mihon,DragonTranslation.org,1,1
drakecomic.net,aidoku|mihon,Drake Scans|en.drakescans,2,2
dreamteams.space,mihon,DreamTeams Scans,1,1
drecomi-plus.jp,mihon,DreComi+,1,1
dresdencodak.com,mihon,Dark Science,1,1
dualeotruyenwk.com,mihon,Dưa Leo Truyện,1,1
dumanwu.org,cimoc,DUMANWUORG,1,1
dumanwu1.com,cimoc|mihon,DUMANWU|读漫屋,2,2
duskoryvile.com,mihon,Duskoryvile,1,1
duskscans.com,mihon,Dusk Scans,1,1
dynasty-scans.com,aidoku|mihon,Dynasty Scans|en.dynastyscans,2,2
e-hentai.org,venera,ehentai,1,3
e621.net,mihon,e621,1,1
ebook.tongli.com.tw,mihon,東立,1,1
ebookjapan.yahoo.co.jp,mihon,eBookJapan,1,1
ebookstore.sony.jp,mihon,Reader Store,1,1
ecchi-doujin.com,mihon,Ecchi-Doujin,1,1
eggporncomics.com,mihon,Eggporncomics,1,1
egotoons.com,mihon,Ego Toons,1,1
egscomics.com,mihon,El Goonish Shive,1,1
elan.school,mihon,Elan School,1,1
eldermanga.com,mihon,Elder Manga,1,1
elftoon.com,aidoku|mihon,Elf Toon|en.elftoon,2,2
elitebabes.com,mihon,Elite Babes,1,1
emaqi.com,mihon,emaqi,1,1
empreguetes.wtf,mihon,Maid Scan,1,1
en-hijala.com,mihon,Hijala Scans,1,1
en-thunderscans.com,mihon,Thunder Scans,1,1
en.girlstop.info,mihon,GirlsTop,1,1
en.xchina.co,mihon,小黄书,1,1
enchiladascan.github.io,mihon,EnchiladaScan,1,1
epsilonscan.to,mihon,Epsilon Scan,1,1
epsilonsoft.to,mihon,Soft Epsilon Scan,1,1
erisscans.com,mihon,Eris Scans,1,1
ero18x.com,mihon,Ero18x,1,1
erofus.com,mihon,Erofus,1,1
erosect.xyz,mihon,EroSect,1,1
es.mi2manga.com,mihon,Es.Mi2Manga,1,1
es.niadd.com,mihon,Niadd,1,1
es.novelcool.com,mihon,NovelCool,1,1
es.xchina.co,mihon,小黄书,1,1
es.xkcd.com,mihon,xkcd,1,1
eshadow.net,mihon,EShadow,1,1
eskimangalar.com,mihon,Eski Mangalar,1,1
eternalmangas.org,aidoku|mihon,EternalMangas|es.eternalmangas,2,2
euphoriascan.com,mihon,Euphoria Scan,1,1
evascans.net,mihon,Eva Scans,1,1
everia.club,mihon,Everia.club,1,1
everiaclub.com,mihon,EveriaClub (unoriginal),1,1
evil-manga.eu,mihon,Evil production,1,1
exhentai.net.br,mihon,ExHentai.net.br,1,1
existentialcomics.com,mihon,Existential Comics,1,1
explosm.net,mihon,Cyanide & Happiness,1,1
ezmanga.org,aidoku|mihon,EZmanga|en.ezmanga,2,2
fairyscans.org,mihon,Fairy Scans,1,1
falcoscan.net,mihon,Falco Scan,1,1
fanfox.net,mihon,MangaFox,1,1
fastscan.org,mihon,FastScan,1,1
faust-web.com,mihon,Faust,1,1
favcomic.com,mihon,喜漫漫画,1,1
fbsquadx.com,mihon,Fleur Blanche,1,1
feixuemh.com,cimoc,FEIXUEMH,1,1
femjoyhunter.com,mihon,Femjoy Hunter,1,1
fenixproject.site,mihon,Fenix Project,1,1
ffppt.com,venera,飞翔漫画,1,2
fin-manga.com,mihon,Fin Manga,1,1
firecross.jp,mihon,FireCross,1,1
firescans.xyz,aidoku|mihon,Firescans|en.firescans,2,2
flamecomics.xyz,aidoku|mihon,Flame Comics|en.flamecomics,2,2
flowercomics.jp,mihon,Flower Comics,1,1
flowermanga.net,aidoku,pt.flowermanga,1,1
flowermangas.net,mihon,FlowerManga.net,1,1
fmteam.fr,aidoku|mihon,FMTEAM|fr.fmteam,2,2
foamgirl.net,mihon,FoamGirl,1,1
foxtruyen2.com,aidoku|mihon,FoxTruyen|vi.foxtruyen,2,2
fr.niadd.com,mihon,Niadd,1,1
fr.novelcool.com,mihon,NovelCool,1,1
freewebnovel.com,aidoku,en.freewebnovel,1,1
frieren.online,mihon,Frieren Online,1,1
ftvhunter.com,mihon,FTV Hunter,1,1
furyosociety.com,mihon,FuryoSquad,1,1
g-comi.jp,mihon,G-Comi,1,1
g-mh.org,cimoc,GODAMH,1,1
gafeland.com,mihon,gafeland,1,1
gaiatoon.com,mihon,Gaiatoon,1,1
gakamangas.com,mihon,GakaMangas,1,1
galaxscanlator.blogspot.com,mihon,GALAX Scans,1,1
galaxymanga.io,mihon,Galaxy Manga,1,1
ganganonline.com,mihon,Gangan Online,1,1
ganma.jp,mihon,GANMA!,1,1
gantzvn.com,mihon,GantzVN,1,1
garciamanga.com,mihon,Garcia Manga,1,1
gaugau.futabanet.jp,mihon,がうがうモンスター＋,1,1
gdscans.com,mihon,GalaxyDegenScans,1,1
geasscomics.xyz,mihon,Geass Comics,1,1
gedecomix.com,mihon,GEDE Comix,1,1
gensura.net,mihon,Gensura,1,1
genztoons.org,mihon,Genz Toons,1,1
gfmh.app,venera,古风漫画,1,2
ghostoon.com,mihon,GhosToon,1,1
ghostscan.xyz,mihon,Ghost Scan,1,1
giantitp.com,mihon,The Order Of The Stick (OOTS),1,1
gingertoon.com,mihon,GingeRTooN,1,1
gistamishousefansub.blogspot.com,mihon,Gistamis House,1,1
git.nyne.dev,venera,MangaDex,1,1
global.manga-up.com,mihon,Manga UP!,1,1
global.toomics.com,mihon,Toomics (Only free chapters),1,9
globalcomix.com,mihon,GlobalComix,1,41
gmanhua.com,cimoc,SHOUJIMH|ShouJiManHua,1,2
gmh1234.wszwhg.net,venera,漫画1234,1,3
go-manga.com,aidoku|mihon,Go Manga|th.gomanga,2,2
goctruyentranh.com,mihon,GocTruyenTranh,1,1
goctruyentranhvui41.com,mihon,Goc Truyen Tranh Vui,1,1
god-doujin.com,mihon,God-Doujin,1,1
godamanga.art,cimoc,GoDaMH,1,1
godamh.com,aidoku|cimoc,HaoManEight|zh.godamanga,2,2
gojoscans.com,mihon,Greed Scans,1,1
golgebahcesi.com,mihon,Gölge Bahçesi,1,1
goonscans.org,mihon,Goon Scans,1,1
gorakuweb.com,mihon,Goraku Web,1,1
gourmetsupremacy.com,mihon,Gourmet Scans,1,1
grabber.zone,aidoku|mihon,Grabber Zone|multi.grabberzone,2,2
gremoryhistorias.org,mihon,Gremory Mangas,1,1
grimscans.com,mihon,Grim Scans,1,1
grrlpowercomic.com,mihon,Grrl Power Comic,1,1
guazimanhua.com,mihon|venera,瓜子漫画,2,3
gufengmanhua.com,cimoc,GuFengWang,1,1
gufengmh.com,cimoc,GuFengManHua,1,1
gufengmh9.com,legado,古风漫画,1,2
gunnerkrigg.com,mihon,Gunnerkrigg Court,1,1
guya.cubari.moe,aidoku|mihon,Guya|en.guya,2,2
h-comic.com,mihon|venera,H-Comic,2,4
hachiraw.net,mihon,Hachiraw,1,1
hachiraw.win,mihon,Manga1000,1,1
hachirumi.com,mihon,Hachirumi,1,1
hadesscans.com,mihon,Hades Scans,1,1
hana-book.fr,mihon,Hana Book,1,1
hanamiheaven.org,mihon,Hanami Heaven,1,1
hanayume.com,mihon,Hana To Yume+,1,1
hanimeone.me,mihon,Hanime1.me,1,1
hanman18.com,mihon,HANMAN18,1,1
hanmandq.com,legado,韩漫大全,1,2
hanmokkuscan.blogspot.com,mihon,Hanmokku Scan,1,1
hao8.net,legado,🎨 好吧漫画,1,2
haoduoman.com,cimoc,HAODUOMAN,1,1
haokantxt.com,venera,好看漫画,1,1
happymh.com,aidoku|mangareader|venera,happy|zh.happymh|嗨皮漫画,3,5
harmony-scan.fr,mihon,Harmony-Scan,1,1
hattorimanga.net,mihon,Hattori Manga,1,1
hattoriscans.com,mihon,Hattori Scans,1,1
hayacomic.jp,mihon,HAYA Comic,1,1
hayalistic.online,mihon,Hayalistic,1,1
hdoujin.org,mihon,HDoujin,1,6
heavenmanga.com,mihon,HeavenManga,1,1
hennojin.com,mihon,Hennojin,1,2
hennoveltranslations.com,aidoku,en.hennoveltranslations,1,1
hentai-archive.com,mihon,HentaiArchive,1,1
hentai-cosplay-xxx.com,mihon,Hentai Cosplay,1,1
hentai-origines.com,mihon,Hentai Origines,1,1
hentai-scantrad.org,mihon,Hentai-Scantrad,1,1
hentai.scanreader.net,mihon,Hentai Scan Reader,1,1
hentai3z.cc,mihon,Hentai3z.CC,1,1
hentai4free.net,mihon,Hentai4Free,1,1
hentaiclub.net,mihon,绅士会所,1,1
hentaicrot.com,mihon,Hentai Crot,1,1
hentaienvy.com,mihon,HentaiEnvy,1,8
hentaiera.com,mihon,HentaiEra,1,8
hentaifantasy.it,mihon,HentaiFantasy,1,1
hentaifox.com,mihon,HentaiFox,1,5
hentaihall.com,mihon,HentaiHall,1,1
hentaihand.com,mihon,HentaiHand,1,34
hentaihere.com,mihon,HentaiHere,1,1
hentaikisu.com,mihon,HentaiKisu,1,1
hentaikun.com,mihon,HentaiKun,1,1
hentailek.com,mihon,هنتاي ليك,1,1
hentailib.me,mihon,HentaiLib,1,1
hentailoop.com,mihon,HentaiLoop,1,1
hentaiman.net,mihon,HentaiMan,1,1
hentaimode.com,mihon,HentaiMode,1,1
hentainexus.com,mihon,HentaiNexus,1,1
hentairead.com,mihon,HentaiRead,1,1
hentairead.io,mihon,HentaiRead.io,1,1
hentairox.com,mihon,HentaiRox,1,4
hentaisco.cc,mihon,HentaiSco,1,1
hentaiseason.com,mihon,Hentai Season,1,1
hentaislayer.net,mihon,هنتاي سلاير,1,1
hentaitnt.net,mihon,HentaiTnT,1,1
hentaitokyo.net,mihon,Hentai Tokyo,1,1
hentaivn.show,mihon,HentaiVN.plus,1,1
hentaivnx.com,mihon,HentaiVNx,1,1
hentaixcomic.com,mihon,HentaiXComic,1,1
hentaixdickgirl.com,mihon,HentaiXDickgirl,1,1
hentaixyuri.com,mihon,HentaiXYuri,1,1
hentaizap.com,mihon,HentaiZap,1,8
hentaizone.xyz,mihon,HentaiZone,1,1
hentalk.pw,mihon,SpyFakku,1,1
hentara.com,mihon,Hentara,1,1
heros-web.com,mihon,HERO'S Web,1,1
hhentai.fr,mihon,HistoireDHentai,1,1
hijala.com,mihon,Hijala,1,1
hikarinagi.org,mihon,Hikarinagi,1,1
hiperdex.tv,mihon,Hiperdex,1,1
hipertoon.com,mihon,Hipertoon,1,1
hipmh.com,venera,嬉皮漫畫,1,1
hitomi.la,aidoku|venera,hitomi.la|multi.hitomi,2,4
hivetoons.org,aidoku|mihon,Hive Scans|en.hivescans,2,2
hiveworkscomics.com,mihon,Hiveworks Comics,1,1
hizomanga.net,mihon,Hizo Manga,1,1
hmba.vip,legado,🎨 韩漫吧,1,2
hni-scantrad.net,mihon,HNI-Scantrad,1,1
holodek.run,mihon,Holotoon,1,1
holoearth.com,mihon,HOLONOMETRIA,1,3
holyscans.com.tr,mihon,Holy Scans,1,1
honey-manga.com.ua,mihon,HoneyManga,1,1
honeytoon.com,mihon,Honeytoon,1,6
horahentai.com,mihon,Hora Hentai,1,1
hotcabaretscan.com,mihon,Hot Cabaret Scan,1,1
hotcomics.me,mihon,HotComics,1,1
houseofotakusv2.xyz,mihon,House Of Otakus,1,1
housesaikai.net,mihon,Saikai Scan,1,1
hq-now.com,mihon,HQ Now!,1,1
hunlightcomics.com,mihon,Hunlight Comics,1,1
hv2tcomics.net,mihon,Học Viện 2Ten,1,1
hyakuro.net,mihon,Hyakuro Translations,1,1
ichicomi.com,mihon,Ichicomi,1,1
id.mgkomik.cc,mihon,MG Komik,1,1
idmzj.com,mangareader,dmzj,1,1
idol.gravureprincess.date,mihon,Idol. gravureprincess .date,1,1
ikanhm.top,legado,🎨爱看韩漫🔞,1,2
ikmmh.com,venera,爱看漫,1,4
